week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
1,Sat,2020-09-12,12:30 (19:30),Fulham,0.2,0–3,1.8,Arsenal,,Craven Cottage,Chris Kavanagh,Match Report,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats,https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League,https://fbref.com/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League
1,Sat,2020-09-12,15:00 (22:00),Crystal Palace,0.7,1–0,0.8,Southampton,,Selhurst Park,Jonathan Moss,Match Report,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/matches/db261cb0/Crystal-Palace-Southampton-September-12-2020-Premier-League,https://fbref.com/en/matches/db261cb0/Crystal-Palace-Southampton-September-12-2020-Premier-League
1,Sat,2020-09-12,17:30 (00:30),Liverpool,3.3,4–3,0.6,Leeds United,,Anfield,Michael Oliver,Match Report,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats,https://fbref.com/en/matches/21b58926/Liverpool-Leeds-United-September-12-2020-Premier-League,https://fbref.com/en/matches/21b58926/Liverpool-Leeds-United-September-12-2020-Premier-League
1,Sat,2020-09-12,20:00 (03:00),West Ham,1.1,0–2,1.5,Newcastle Utd,,London Stadium,Stuart Attwell,Match Report,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats,https://fbref.com/en/matches/78495ced/West-Ham-United-Newcastle-United-September-12-2020-Premier-League,https://fbref.com/en/matches/78495ced/West-Ham-United-Newcastle-United-September-12-2020-Premier-League
1,Sun,2020-09-13,14:00 (21:00),West Brom,0.5,0–3,2.2,Leicester City,,The Hawthorns,Anthony Taylor,Match Report,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats,https://fbref.com/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League,https://fbref.com/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League
1,Sun,2020-09-13,16:30 (23:30),Tottenham,1.0,0–1,1.4,Everton,,Tottenham Hotspur Stadium,Martin Atkinson,Match Report,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats,https://fbref.com/en/matches/fc7f9aa1/Tottenham-Hotspur-Everton-September-13-2020-Premier-League,https://fbref.com/en/matches/fc7f9aa1/Tottenham-Hotspur-Everton-September-13-2020-Premier-League
1,Mon,2020-09-14,18:00 (01:00),Sheffield Utd,0.6,0–2,1.1,Wolves,,Bramall Lane,Mike Dean,Match Report,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats,https://fbref.com/en/matches/a3eb7a37/Sheffield-United-Wolverhampton-Wanderers-September-14-2020-Premier-League,https://fbref.com/en/matches/a3eb7a37/Sheffield-United-Wolverhampton-Wanderers-September-14-2020-Premier-League
1,Mon,2020-09-14,20:15 (03:15),Brighton,1.4,1–3,1.2,Chelsea,,The American Express Community Stadium,Craig Pawson,Match Report,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats,https://fbref.com/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League,https://fbref.com/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League
2,Sat,2020-09-19,12:30 (19:30),Everton,3.4,5–2,0.3,West Brom,,Goodison Park,Mike Dean,Match Report,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/45bd1880/Everton-West-Bromwich-Albion-September-19-2020-Premier-League,https://fbref.com/en/matches/45bd1880/Everton-West-Bromwich-Albion-September-19-2020-Premier-League
2,Sat,2020-09-19,15:00 (22:00),Leeds United,1.7,4–3,1.8,Fulham,,Elland Road,Anthony Taylor,Match Report,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats,https://fbref.com/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League,https://fbref.com/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League
2,Sat,2020-09-19,17:30 (00:30),Manchester Utd,1.1,1–3,1.6,Crystal Palace,,Old Trafford,Martin Atkinson,Match Report,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,https://fbref.com/en/matches/97279323/Manchester-United-Crystal-Palace-September-19-2020-Premier-League,https://fbref.com/en/matches/97279323/Manchester-United-Crystal-Palace-September-19-2020-Premier-League
2,Sat,2020-09-19,20:00 (03:00),Arsenal,1.4,2–1,1.9,West Ham,,Emirates Stadium,Michael Oliver,Match Report,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats,https://fbref.com/en/matches/f4835ec2/Arsenal-West-Ham-United-September-19-2020-Premier-League,https://fbref.com/en/matches/f4835ec2/Arsenal-West-Ham-United-September-19-2020-Premier-League
2,Sun,2020-09-20,12:00 (19:00),Southampton,1.5,2–5,2.5,Tottenham,,St. Mary's Stadium,David Coote,Match Report,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/967efd56/Southampton-Tottenham-Hotspur-September-20-2020-Premier-League,https://fbref.com/en/matches/967efd56/Southampton-Tottenham-Hotspur-September-20-2020-Premier-League
2,Sun,2020-09-20,14:00 (21:00),Newcastle Utd,0.5,0–3,1.6,Brighton,,St. James' Park,Kevin Friend,Match Report,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League,https://fbref.com/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League
2,Sun,2020-09-20,16:30 (23:30),Chelsea,1.0,0–2,2.6,Liverpool,,Stamford Bridge,Paul Tierney,Match Report,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League,https://fbref.com/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League
2,Sun,2020-09-20,19:00 (02:00),Leicester City,1.4,4–2,1.9,Burnley,,King Power Stadium,Lee Mason,Match Report,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats,https://fbref.com/en/matches/465b25a8/Leicester-City-Burnley-September-20-2020-Premier-League,https://fbref.com/en/matches/465b25a8/Leicester-City-Burnley-September-20-2020-Premier-League
2,Mon,2020-09-21,18:00 (01:00),Aston Villa,1.0,1–0,0.9,Sheffield Utd,,Villa Park,Graham Scott,Match Report,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats,https://fbref.com/en/matches/98b4b5b6/Aston-Villa-Sheffield-United-September-21-2020-Premier-League,https://fbref.com/en/matches/98b4b5b6/Aston-Villa-Sheffield-United-September-21-2020-Premier-League
2,Mon,2020-09-21,20:15 (03:15),Wolves,1.0,1–3,1.9,Manchester City,,Molineux Stadium,Andre Marriner,Match Report,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats,https://fbref.com/en/matches/1c17eca3/Wolverhampton-Wanderers-Manchester-City-September-21-2020-Premier-League,https://fbref.com/en/matches/1c17eca3/Wolverhampton-Wanderers-Manchester-City-September-21-2020-Premier-League
3,Sat,2020-09-26,12:30 (19:30),Brighton,2.4,2–3,1.1,Manchester Utd,,The American Express Community Stadium,Chris Kavanagh,Match Report,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats,https://fbref.com/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League,https://fbref.com/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League
3,Sat,2020-09-26,15:00 (22:00),Crystal Palace,0.4,1–2,2.0,Everton,,Selhurst Park,Kevin Friend,Match Report,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats,https://fbref.com/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League,https://fbref.com/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League
3,Sat,2020-09-26,17:30 (00:30),West Brom,1.0,3–3,2.2,Chelsea,,The Hawthorns,Jonathan Moss,Match Report,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats,https://fbref.com/en/matches/d725a16c/West-Bromwich-Albion-Chelsea-September-26-2020-Premier-League,https://fbref.com/en/matches/d725a16c/West-Bromwich-Albion-Chelsea-September-26-2020-Premier-League
3,Sat,2020-09-26,20:00 (03:00),Burnley,0.5,0–1,0.6,Southampton,,Turf Moor,Andre Marriner,Match Report,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/matches/ae113c54/Burnley-Southampton-September-26-2020-Premier-League,https://fbref.com/en/matches/ae113c54/Burnley-Southampton-September-26-2020-Premier-League
3,Sun,2020-09-27,12:00 (19:00),Sheffield Utd,1.6,0–1,1.6,Leeds United,,Bramall Lane,Paul Tierney,Match Report,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats,https://fbref.com/en/matches/51fb894e/Sheffield-United-Leeds-United-September-27-2020-Premier-League,https://fbref.com/en/matches/51fb894e/Sheffield-United-Leeds-United-September-27-2020-Premier-League
3,Sun,2020-09-27,14:00 (21:00),Tottenham,2.3,1–1,1.0,Newcastle Utd,,Tottenham Hotspur Stadium,Peter Bankes,Match Report,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats,https://fbref.com/en/matches/002c4e89/Tottenham-Hotspur-Newcastle-United-September-27-2020-Premier-League,https://fbref.com/en/matches/002c4e89/Tottenham-Hotspur-Newcastle-United-September-27-2020-Premier-League
3,Sun,2020-09-27,16:30 (23:30),Manchester City,0.9,2–5,2.6,Leicester City,,Etihad Stadium,Michael Oliver,Match Report,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats,https://fbref.com/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League,https://fbref.com/en/matches/31c2a061/Manchester-City-Leicester-City-September-27-2020-Premier-League
3,Sun,2020-09-27,19:00 (02:00),West Ham,1.6,4–0,0.5,Wolves,,London Stadium,Martin Atkinson,Match Report,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats,https://fbref.com/en/matches/a223dd70/West-Ham-United-Wolverhampton-Wanderers-September-27-2020-Premier-League,https://fbref.com/en/matches/a223dd70/West-Ham-United-Wolverhampton-Wanderers-September-27-2020-Premier-League
3,Mon,2020-09-28,17:45 (00:45),Fulham,0.7,0–3,1.6,Aston Villa,,Craven Cottage,Stuart Attwell,Match Report,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats,https://fbref.com/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League,https://fbref.com/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League
3,Mon,2020-09-28,20:00 (03:00),Liverpool,3.2,3–1,1.2,Arsenal,,Anfield,Craig Pawson,Match Report,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats,https://fbref.com/en/matches/ebe4e309/Liverpool-Arsenal-September-28-2020-Premier-League,https://fbref.com/en/matches/ebe4e309/Liverpool-Arsenal-September-28-2020-Premier-League
4,Sat,2020-10-03,12:30 (19:30),Chelsea,2.5,4–0,0.1,Crystal Palace,,Stamford Bridge,Michael Oliver,Match Report,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,https://fbref.com/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League,https://fbref.com/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League
4,Sat,2020-10-03,15:00 (22:00),Everton,1.8,4–2,1.2,Brighton,,Goodison Park,Simon Hooper,Match Report,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League,https://fbref.com/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League
4,Sat,2020-10-03,17:30 (00:30),Leeds United,1.7,1–1,1.5,Manchester City,,Elland Road,Mike Dean,Match Report,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats,https://fbref.com/en/matches/5ce15b58/Leeds-United-Manchester-City-October-3-2020-Premier-League,https://fbref.com/en/matches/5ce15b58/Leeds-United-Manchester-City-October-3-2020-Premier-League
4,Sat,2020-10-03,20:00 (03:00),Newcastle Utd,2.0,3–1,0.6,Burnley,,St. James' Park,David Coote,Match Report,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats,https://fbref.com/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League,https://fbref.com/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League
4,Sun,2020-10-04,12:00 (19:00),Leicester City,0.4,0–3,1.6,West Ham,,King Power Stadium,Andy Madley,Match Report,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats,https://fbref.com/en/matches/a29866ec/Leicester-City-West-Ham-United-October-4-2020-Premier-League,https://fbref.com/en/matches/a29866ec/Leicester-City-West-Ham-United-October-4-2020-Premier-League
4,Sun,2020-10-04,12:00 (19:00),Southampton,1.2,2–0,0.1,West Brom,,St. Mary's Stadium,Chris Kavanagh,Match Report,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/39864083/Southampton-West-Bromwich-Albion-October-4-2020-Premier-League,https://fbref.com/en/matches/39864083/Southampton-West-Bromwich-Albion-October-4-2020-Premier-League
4,Sun,2020-10-04,14:00 (21:00),Arsenal,0.4,2–1,0.2,Sheffield Utd,,Emirates Stadium,Lee Mason,Match Report,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats,https://fbref.com/en/matches/09725cb3/Arsenal-Sheffield-United-October-4-2020-Premier-League,https://fbref.com/en/matches/09725cb3/Arsenal-Sheffield-United-October-4-2020-Premier-League
4,Sun,2020-10-04,14:00 (21:00),Wolves,1.2,1–0,0.7,Fulham,,Molineux Stadium,Darren England,Match Report,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats,https://fbref.com/en/matches/8f989671/Wolverhampton-Wanderers-Fulham-October-4-2020-Premier-League,https://fbref.com/en/matches/8f989671/Wolverhampton-Wanderers-Fulham-October-4-2020-Premier-League
4,Sun,2020-10-04,16:30 (23:30),Manchester Utd,0.9,1–6,3.8,Tottenham,,Old Trafford,Anthony Taylor,Match Report,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/cded7e69/Manchester-United-Tottenham-Hotspur-October-4-2020-Premier-League,https://fbref.com/en/matches/cded7e69/Manchester-United-Tottenham-Hotspur-October-4-2020-Premier-League
4,Sun,2020-10-04,19:15 (02:15),Aston Villa,3.9,7–2,1.8,Liverpool,,Villa Park,Martin Atkinson,Match Report,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/matches/14a7771b/Aston-Villa-Liverpool-October-4-2020-Premier-League,https://fbref.com/en/matches/14a7771b/Aston-Villa-Liverpool-October-4-2020-Premier-League
5,Sat,2020-10-17,12:30 (19:30),Everton,1.3,2–2,2.2,Liverpool,,Goodison Park,Michael Oliver,Match Report,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/matches/6da04e2d/Merseyside-Derby-Everton-Liverpool-October-17-2020-Premier-League,https://fbref.com/en/matches/6da04e2d/Merseyside-Derby-Everton-Liverpool-October-17-2020-Premier-League
5,Sat,2020-10-17,15:00 (22:00),Chelsea,2.0,3–3,2.2,Southampton,,Stamford Bridge,Peter Bankes,Match Report,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/matches/9bd558f5/Chelsea-Southampton-October-17-2020-Premier-League,https://fbref.com/en/matches/9bd558f5/Chelsea-Southampton-October-17-2020-Premier-League
5,Sat,2020-10-17,17:30 (00:30),Manchester City,1.5,1–0,0.9,Arsenal,,Etihad Stadium,Chris Kavanagh,Match Report,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats,https://fbref.com/en/matches/e95b8546/Manchester-City-Arsenal-October-17-2020-Premier-League,https://fbref.com/en/matches/e95b8546/Manchester-City-Arsenal-October-17-2020-Premier-League
5,Sat,2020-10-17,20:00 (03:00),Newcastle Utd,0.5,1–4,2.7,Manchester Utd,,St. James' Park,Craig Pawson,Match Report,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats,https://fbref.com/en/matches/0b8239de/Newcastle-United-Manchester-United-October-17-2020-Premier-League,https://fbref.com/en/matches/0b8239de/Newcastle-United-Manchester-United-October-17-2020-Premier-League
5,Sun,2020-10-18,12:00 (19:00),Sheffield Utd,1.5,1–1,1.7,Fulham,,Bramall Lane,Andre Marriner,Match Report,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats,https://fbref.com/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League,https://fbref.com/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League
5,Sun,2020-10-18,14:00 (21:00),Crystal Palace,0.8,1–1,1.1,Brighton,,Selhurst Park,Stuart Attwell,Match Report,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League,https://fbref.com/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League
5,Sun,2020-10-18,16:30 (23:30),Tottenham,1.2,3–3,2.1,West Ham,,Tottenham Hotspur Stadium,Paul Tierney,Match Report,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats,https://fbref.com/en/matches/17f0eec9/Tottenham-Hotspur-West-Ham-United-October-18-2020-Premier-League,https://fbref.com/en/matches/17f0eec9/Tottenham-Hotspur-West-Ham-United-October-18-2020-Premier-League
5,Sun,2020-10-18,19:15 (02:15),Leicester City,0.5,0–1,0.6,Aston Villa,,King Power Stadium,Jonathan Moss,Match Report,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats,https://fbref.com/en/matches/7751d8c1/Leicester-City-Aston-Villa-October-18-2020-Premier-League,https://fbref.com/en/matches/7751d8c1/Leicester-City-Aston-Villa-October-18-2020-Premier-League
5,Mon,2020-10-19,17:30 (00:30),West Brom,1.0,0–0,1.1,Burnley,,The Hawthorns,Anthony Taylor,Match Report,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats,https://fbref.com/en/matches/13f3ae88/West-Bromwich-Albion-Burnley-October-19-2020-Premier-League,https://fbref.com/en/matches/13f3ae88/West-Bromwich-Albion-Burnley-October-19-2020-Premier-League
5,Mon,2020-10-19,20:00 (03:00),Leeds United,1.6,0–1,0.5,Wolves,,Elland Road,David Coote,Match Report,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats,https://fbref.com/en/matches/6a2c4518/Leeds-United-Wolverhampton-Wanderers-October-19-2020-Premier-League,https://fbref.com/en/matches/6a2c4518/Leeds-United-Wolverhampton-Wanderers-October-19-2020-Premier-League
6,Fri,2020-10-23,20:00 (03:00),Aston Villa,1.2,0–3,3.6,Leeds United,,Villa Park,Paul Tierney,Match Report,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats,https://fbref.com/en/squads/5bfb9659/2020-2021/Leeds-United-Stats,https://fbref.com/en/matches/873ab775/Aston-Villa-Leeds-United-October-23-2020-Premier-League,https://fbref.com/en/matches/873ab775/Aston-Villa-Leeds-United-October-23-2020-Premier-League
6,Sat,2020-10-24,12:30 (19:30),West Ham,0.5,1–1,1.1,Manchester City,,London Stadium,Anthony Taylor,Match Report,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats,https://fbref.com/en/matches/2b0c0eca/West-Ham-United-Manchester-City-October-24-2020-Premier-League,https://fbref.com/en/matches/2b0c0eca/West-Ham-United-Manchester-City-October-24-2020-Premier-League
6,Sat,2020-10-24,15:00 (22:00),Fulham,1.1,1–2,2.6,Crystal Palace,,Craven Cottage,Graham Scott,Match Report,https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats,https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats,https://fbref.com/en/matches/8d896969/Fulham-Crystal-Palace-October-24-2020-Premier-League,https://fbref.com/en/matches/8d896969/Fulham-Crystal-Palace-October-24-2020-Premier-League
6,Sat,2020-10-24,17:30 (00:30),Manchester Utd,0.7,0–0,0.2,Chelsea,,Old Trafford,Martin Atkinson,Match Report,https://fbref.com/en/squads/19538871/2020-2021/Manchester-United-Stats,https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats,https://fbref.com/en/matches/3aaf7c62/Manchester-United-Chelsea-October-24-2020-Premier-League,https://fbref.com/en/matches/3aaf7c62/Manchester-United-Chelsea-October-24-2020-Premier-League
6,Sat,2020-10-24,20:00 (03:00),Liverpool,2.5,2–1,1.5,Sheffield Utd,,Anfield,Mike Dean,Match Report,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats,https://fbref.com/en/matches/0bc8d984/Liverpool-Sheffield-United-October-24-2020-Premier-League,https://fbref.com/en/matches/0bc8d984/Liverpool-Sheffield-United-October-24-2020-Premier-League
6,Sun,2020-10-25,14:00 (22:00),Southampton,0.7,2–0,0.4,Everton,,St. Mary's Stadium,Kevin Friend,Match Report,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats,https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats,https://fbref.com/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League,https://fbref.com/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League
6,Sun,2020-10-25,16:30 (00:30),Wolves,0.7,1–1,0.2,Newcastle Utd,,Molineux Stadium,Lee Mason,Match Report,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats,https://fbref.com/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats,https://fbref.com/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League,https://fbref.com/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League
6,Sun,2020-10-25,19:15 (03:15),Arsenal,0.9,0–1,1.2,Leicester City,,Emirates Stadium,Craig Pawson,Match Report,https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats,https://fbref.com/en/squads/a2d435b3/2020-2021/Leicester-City-Stats,https://fbref.com/en/matches/bcd3a9b4/Arsenal-Leicester-City-October-25-2020-Premier-League,https://fbref.com/en/matches/bcd3a9b4/Arsenal-Leicester-City-October-25-2020-Premier-League
6,Mon,2020-10-26,17:30 (01:30),Brighton,0.7,1–1,0.6,West Brom,,The American Express Community Stadium,Jonathan Moss,Match Report,https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats,https://fbref.com/en/matches/26452511/Brighton-and-Hove-Albion-West-Bromwich-Albion-October-26-2020-Premier-League,https://fbref.com/en/matches/26452511/Brighton-and-Hove-Albion-West-Bromwich-Albion-October-26-2020-Premier-League
6,Mon,2020-10-26,20:00 (04:00),Burnley,0.6,0–1,0.8,Tottenham,,Turf Moor,Michael Oliver,Match Report,https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/4931660e/Burnley-Tottenham-Hotspur-October-26-2020-Premier-League,https://fbref.com/en/matches/4931660e/Burnley-Tottenham-Hotspur-October-26-2020-Premier-League
