Rank,Club,Country,Level,Elo,From,To
None,Udinese,ITA,2,1415.63562012,1949-09-11,1949-09-11
None,Udinese,ITA,2,1442.08935547,1949-09-12,1949-09-18
None,Udinese,ITA,2,1447.0703125,1949-09-19,1949-09-25
None,Udinese,ITA,2,1451.88049316,1949-09-26,1949-10-02
None,Udinese,ITA,2,1457.19152832,1949-10-03,1949-10-09
None,Udinese,ITA,2,1453.59960938,1949-10-10,1949-10-16
None,Udinese,ITA,2,1456.30529785,1949-10-17,1949-10-23
None,Udinese,ITA,2,1469.04333496,1949-10-24,1949-10-30
None,Udinese,ITA,2,1476.20581055,1949-10-31,1949-11-06
None,Udinese,ITA,2,1487.01953125,1949-11-07,1949-11-13
None,Udinese,ITA,2,1490.73388672,1949-11-14,1949-11-20
None,Udinese,ITA,2,1486.51342773,1949-11-21,1949-11-27
None,Udinese,ITA,2,1481.50866699,1949-11-28,1949-12-04
None,Udinese,ITA,2,1503.33569336,1949-12-05,1949-12-08
None,Udinese,ITA,2,1497.88684082,1949-12-09,1949-12-11
None,Udinese,ITA,2,1511.24438477,1949-12-12,1949-12-18
None,Udinese,ITA,2,1505.85656738,1949-12-19,1949-12-26
None,Udinese,ITA,2,1507.45471191,1949-12-27,1950-01-01
None,Udinese,ITA,2,1523.18164062,1950-01-02,1950-01-08
None,Udinese,ITA,2,1527.87060547,1950-01-09,1950-01-15
None,Udinese,ITA,2,1521.81237793,1950-01-16,1950-01-22
None,Udinese,ITA,2,1524.82775879,1950-01-23,1950-01-29
None,Udinese,ITA,2,1528.90905762,1950-01-30,1950-02-05
None,Udinese,ITA,2,1533.67150879,1950-02-06,1950-02-12
None,Udinese,ITA,2,1527.08813477,1950-02-13,1950-02-19
None,Udinese,ITA,2,1523.39245605,1950-02-20,1950-02-26
None,Udinese,ITA,2,1528.22436523,1950-02-27,1950-03-12
None,Udinese,ITA,2,1528.55432129,1950-03-13,1950-03-19
None,Udinese,ITA,2,1532.06152344,1950-03-20,1950-03-26
None,Udinese,ITA,2,1543.57141113,1950-03-27,1950-04-02
None,Udinese,ITA,2,1547.10559082,1950-04-03,1950-04-09
None,Udinese,ITA,2,1549.87695312,1950-04-10,1950-04-16
None,Udinese,ITA,2,1554.71044922,1950-04-17,1950-04-23
None,Udinese,ITA,2,1563.60583496,1950-04-24,1950-04-30
None,Udinese,ITA,2,1565.29064941,1950-05-01,1950-05-07
None,Udinese,ITA,2,1556.89941406,1950-05-08,1950-05-14
None,Udinese,ITA,2,1558.79724121,1950-05-15,1950-05-21
None,Udinese,ITA,2,1560.21032715,1950-05-22,1950-05-28
None,Udinese,ITA,2,1562.88513184,1950-05-29,1950-06-04
None,Udinese,ITA,2,1564.35522461,1950-06-05,1950-06-11
None,Udinese,ITA,2,1557.62744141,1950-06-12,1950-06-14
None,Udinese,ITA,2,1530.68908691,1950-06-15,1950-06-16
None,Udinese,ITA,2,1515.30578613,1950-06-17,1950-06-18
None,Udinese,ITA,2,1517.11230469,1950-06-19,1950-06-25
None,Udinese,ITA,2,1508.48974609,1950-06-26,1950-07-01
None,Udinese,ITA,1,1508.48974609,1950-07-02,1950-09-10
None,Udinese,ITA,1,1506.5357666,1950-09-11,1950-09-17
None,Udinese,ITA,1,1510.4519043,1950-09-18,1950-09-24
None,Udinese,ITA,1,1506.65026855,1950-09-25,1950-10-01
None,Udinese,ITA,1,1510.20996094,1950-10-02,1950-10-08
None,Udinese,ITA,1,1507.83605957,1950-10-09,1950-10-15
None,Udinese,ITA,1,1512.4498291,1950-10-16,1950-10-22
None,Udinese,ITA,1,1517.88110352,1950-10-23,1950-10-29
None,Udinese,ITA,1,1507.47875977,1950-10-30,1950-11-05
None,Udinese,ITA,1,1512.19091797,1950-11-06,1950-11-12
None,Udinese,ITA,1,1516.63317871,1950-11-13,1950-11-19
None,Udinese,ITA,1,1527.43579102,1950-11-20,1950-11-26
None,Udinese,ITA,1,1523.87512207,1950-11-27,1950-12-03
None,Udinese,ITA,1,1530.08044434,1950-12-04,1950-12-10
None,Udinese,ITA,1,1535.73278809,1950-12-11,1950-12-17
None,Udinese,ITA,1,1524.84313965,1950-12-18,1950-12-24
None,Udinese,ITA,1,1515.72155762,1950-12-25,1950-12-31
None,Udinese,ITA,1,1511.98498535,1951-01-01,1951-01-07
None,Udinese,ITA,1,1501.30480957,1951-01-08,1951-01-14
None,Udinese,ITA,1,1507.45874023,1951-01-15,1951-01-21
None,Udinese,ITA,1,1510.1282959,1951-01-22,1951-01-28
None,Udinese,ITA,1,1513.73376465,1951-01-29,1951-02-04
None,Udinese,ITA,1,1509.29760742,1951-02-05,1951-02-18
None,Udinese,ITA,1,1499.58093262,1951-02-19,1951-02-25
None,Udinese,ITA,1,1505.10559082,1951-02-26,1951-03-01
None,Udinese,ITA,1,1499.53442383,1951-03-02,1951-03-04
None,Udinese,ITA,1,1495.39038086,1951-03-05,1951-03-11
None,Udinese,ITA,1,1493.36547852,1951-03-12,1951-03-25
None,Udinese,ITA,1,1488.80847168,1951-03-26,1951-04-01
None,Udinese,ITA,1,1491.93981934,1951-04-02,1951-04-05
None,Udinese,ITA,1,1496.97021484,1951-04-06,1951-04-15
None,Udinese,ITA,1,1517.62280273,1951-04-16,1951-04-22
None,Udinese,ITA,1,1523.81359863,1951-04-23,1951-04-29
None,Udinese,ITA,1,1527.87841797,1951-04-30,1951-05-13
None,Udinese,ITA,1,1535.75537109,1951-05-14,1951-05-20
None,Udinese,ITA,1,1538.5982666,1951-05-21,1951-05-27
None,Udinese,ITA,1,1514.93359375,1951-05-28,1951-06-10
None,Udinese,ITA,1,1512.01318359,1951-06-11,1951-06-17
None,Udinese,ITA,1,1510.18981934,1951-06-18,1951-06-20
None,Udinese,ITA,1,1533.54272461,1951-06-21,1951-06-24
None,Udinese,ITA,1,1546.29272461,1951-06-25,1951-09-09
None,Udinese,ITA,1,1543.18115234,1951-09-10,1951-09-16
None,Udinese,ITA,1,1539.85070801,1951-09-17,1951-09-23
None,Udinese,ITA,1,1543.58996582,1951-09-24,1951-09-30
None,Udinese,ITA,1,1547.6229248,1951-10-01,1951-10-07
None,Udinese,ITA,1,1551.23132324,1951-10-08,1951-10-14
None,Udinese,ITA,1,1557.53942871,1951-10-15,1951-10-21
None,Udinese,ITA,1,1537.13256836,1951-10-22,1951-10-28
None,Udinese,ITA,1,1535.39587402,1951-10-29,1951-11-04
None,Udinese,ITA,1,1540.94812012,1951-11-05,1951-11-18
None,Udinese,ITA,1,1534.91223145,1951-11-19,1951-12-02
None,Udinese,ITA,1,1523.3536377,1951-12-03,1951-12-09
None,Udinese,ITA,1,1537.00390625,1951-12-10,1951-12-16
None,Udinese,ITA,1,1547.53625488,1951-12-17,1951-12-30
None,Udinese,ITA,1,1553.08837891,1951-12-31,1952-01-06
None,Udinese,ITA,1,1556.64904785,1952-01-07,1952-01-09
None,Udinese,ITA,1,1551.9786377,1952-01-10,1952-01-13
None,Udinese,ITA,1,1546.3717041,1952-01-14,1952-01-20
None,Udinese,ITA,1,1542.45349121,1952-01-21,1952-02-03
None,Udinese,ITA,1,1556.33752441,1952-02-04,1952-02-10
None,Udinese,ITA,1,1555.05810547,1952-02-11,1952-02-17
None,Udinese,ITA,1,1563.4317627,1952-02-18,1952-03-02
None,Udinese,ITA,1,1569.43762207,1952-03-03,1952-03-09
None,Udinese,ITA,1,1570.98596191,1952-03-10,1952-03-16
None,Udinese,ITA,1,1553.60046387,1952-03-17,1952-03-19
None,Udinese,ITA,1,1549.97875977,1952-03-20,1952-03-23
None,Udinese,ITA,1,1545.72827148,1952-03-24,1952-03-30
None,Udinese,ITA,1,1534.95166016,1952-03-31,1952-04-06
None,Udinese,ITA,1,1526.67810059,1952-04-07,1952-04-13
None,Udinese,ITA,1,1532.03601074,1952-04-14,1952-04-20
None,Udinese,ITA,1,1528.50085449,1952-04-21,1952-04-27
None,Udinese,ITA,1,1526.54528809,1952-04-28,1952-05-04
None,Udinese,ITA,1,1534.90686035,1952-05-05,1952-05-11
None,Udinese,ITA,1,1540.2755127,1952-05-12,1952-05-25
None,Udinese,ITA,1,1531.39404297,1952-05-26,1952-06-01
None,Udinese,ITA,1,1538.69616699,1952-06-02,1952-06-08
None,Udinese,ITA,1,1521.87768555,1952-06-09,1952-06-15
None,Udinese,ITA,1,1530.22521973,1952-06-16,1952-06-22
None,Udinese,ITA,1,1535.09204102,1952-06-23,1952-06-26
None,Udinese,ITA,1,1504.30163574,1952-06-27,1952-06-28
None,Udinese,ITA,1,1512.23999023,1952-06-29,1952-09-14
None,Udinese,ITA,1,1526.49963379,1952-09-15,1952-09-21
None,Udinese,ITA,1,1531.12695312,1952-09-22,1952-09-28
None,Udinese,ITA,1,1527.38220215,1952-09-29,1952-10-05
None,Udinese,ITA,1,1518.78039551,1952-10-06,1952-10-12
None,Udinese,ITA,1,1523.69812012,1952-10-13,1952-10-19
None,Udinese,ITA,1,1521.76306152,1952-10-20,1952-11-02
None,Udinese,ITA,1,1526.49938965,1952-11-03,1952-11-09
None,Udinese,ITA,1,1532.31323242,1952-11-10,1952-11-16
None,Udinese,ITA,1,1527.69555664,1952-11-17,1952-11-23
None,Udinese,ITA,1,1521.89709473,1952-11-24,1952-11-30
None,Udinese,ITA,1,1517.65527344,1952-12-01,1952-12-07
None,Udinese,ITA,1,1525.88671875,1952-12-08,1952-12-14
None,Udinese,ITA,1,1532.68200684,1952-12-15,1952-12-21
None,Udinese,ITA,1,1537.51184082,1952-12-22,1953-01-04
None,Udinese,ITA,1,1532.0234375,1953-01-05,1953-01-11
None,Udinese,ITA,1,1522.87683105,1953-01-12,1953-01-18
None,Udinese,ITA,1,1532.4609375,1953-01-19,1953-01-25
None,Udinese,ITA,1,1514.28210449,1953-01-26,1953-02-01
None,Udinese,ITA,1,1535.88024902,1953-02-02,1953-02-08
None,Udinese,ITA,1,1534.24133301,1953-02-09,1953-02-15
None,Udinese,ITA,1,1531.24377441,1953-02-16,1953-02-22
None,Udinese,ITA,1,1535.07250977,1953-02-23,1953-03-01
None,Udinese,ITA,1,1536.90075684,1953-03-02,1953-03-08
None,Udinese,ITA,1,1531.40466309,1953-03-09,1953-03-15
None,Udinese,ITA,1,1539.29821777,1953-03-16,1953-03-22
None,Udinese,ITA,1,1535.27697754,1953-03-23,1953-03-29
None,Udinese,ITA,1,1543.25476074,1953-03-30,1953-04-05
None,Udinese,ITA,1,1547.38952637,1953-04-06,1953-04-12
None,Udinese,ITA,1,1548.77050781,1953-04-13,1953-04-19
None,Udinese,ITA,1,1541.14587402,1953-04-20,1953-05-03
None,Udinese,ITA,1,1545.89331055,1953-05-04,1953-05-24
None,Udinese,ITA,1,1529.62487793,1953-05-25,1953-05-31
None,Udinese,ITA,1,1540.03259277,1953-06-01,1953-06-04
None,Udinese,ITA,1,1550.3626709,1953-06-05,1953-06-07
None,Udinese,ITA,1,1514.43322754,1953-06-08,1953-09-13
None,Udinese,ITA,1,1515.63256836,1953-09-14,1953-09-20
None,Udinese,ITA,1,1506.97290039,1953-09-21,1953-09-27
None,Udinese,ITA,1,1500.83093262,1953-09-28,1953-10-04
None,Udinese,ITA,1,1490.6138916,1953-10-05,1953-10-11
None,Udinese,ITA,1,1496.12475586,1953-10-12,1953-10-18
None,Udinese,ITA,1,1502.92358398,1953-10-19,1953-10-25
None,Udinese,ITA,1,1500.66674805,1953-10-26,1953-11-01
None,Udinese,ITA,1,1499.31689453,1953-11-02,1953-11-08
None,Udinese,ITA,1,1496.87988281,1953-11-09,1953-11-22
None,Udinese,ITA,1,1494.84289551,1953-11-23,1953-11-29
None,Udinese,ITA,1,1491.49865723,1953-11-30,1953-12-06
None,Udinese,ITA,1,1513.85070801,1953-12-07,1953-12-20
None,Udinese,ITA,1,1519.62084961,1953-12-21,1953-12-27
None,Udinese,ITA,1,1521.27453613,1953-12-28,1954-01-03
None,Udinese,ITA,1,1511.64599609,1954-01-04,1954-01-10
None,Udinese,ITA,1,1503.0579834,1954-01-11,1954-01-17
None,Udinese,ITA,1,1499.15478516,1954-01-18,1954-01-31
None,Udinese,ITA,1,1497.62597656,1954-02-01,1954-02-07
None,Udinese,ITA,1,1502.02282715,1954-02-08,1954-02-14
None,Udinese,ITA,1,1508.35595703,1954-02-15,1954-02-21
None,Udinese,ITA,1,1513.40124512,1954-02-22,1954-02-28
None,Udinese,ITA,1,1510.0246582,1954-03-01,1954-03-07
None,Udinese,ITA,1,1504.91333008,1954-03-08,1954-03-14
None,Udinese,ITA,1,1500.68786621,1954-03-15,1954-03-21
None,Udinese,ITA,1,1493.3503418,1954-03-22,1954-03-28
None,Udinese,ITA,1,1505.68041992,1954-03-29,1954-04-04
None,Udinese,ITA,1,1505.31884766,1954-04-05,1954-04-18
None,Udinese,ITA,1,1495.7869873,1954-04-19,1954-04-25
None,Udinese,ITA,1,1487.57019043,1954-04-26,1954-05-02
None,Udinese,ITA,1,1484.11181641,1954-05-03,1954-05-09
None,Udinese,ITA,1,1472.18518066,1954-05-10,1954-05-16
None,Udinese,ITA,1,1479.44213867,1954-05-17,1954-05-23
None,Udinese,ITA,1,1486.08813477,1954-05-24,1954-05-30
None,Udinese,ITA,1,1496.43200684,1954-05-31,1954-06-06
None,Udinese,ITA,1,1503.27185059,1954-06-07,1954-06-13
None,Udinese,ITA,1,1499.47192383,1954-06-14,1954-09-19
None,Udinese,ITA,1,1491.90063477,1954-09-20,1954-09-26
None,Udinese,ITA,1,1488.73132324,1954-09-27,1954-10-03
None,Udinese,ITA,1,1478.38598633,1954-10-04,1954-10-10
None,Udinese,ITA,1,1486.56384277,1954-10-11,1954-10-17
None,Udinese,ITA,1,1491.13720703,1954-10-18,1954-10-24
None,Udinese,ITA,1,1498.18347168,1954-10-25,1954-10-31
None,Udinese,ITA,1,1494.67236328,1954-11-01,1954-11-07
None,Udinese,ITA,1,1502.71679688,1954-11-08,1954-11-14
None,Udinese,ITA,1,1517.98120117,1954-11-15,1954-11-21
None,Udinese,ITA,1,1512.1229248,1954-11-22,1954-12-12
None,Udinese,ITA,1,1505.8190918,1954-12-13,1954-12-26
None,Udinese,ITA,1,1501.03100586,1954-12-27,1955-01-02
None,Udinese,ITA,1,1506.98132324,1955-01-03,1955-01-06
None,Udinese,ITA,1,1511.63806152,1955-01-07,1955-01-23
None,Udinese,ITA,1,1522.65087891,1955-01-24,1955-01-26
None,Udinese,ITA,1,1530.2890625,1955-01-27,1955-01-30
None,Udinese,ITA,1,1546.63244629,1955-01-31,1955-02-06
None,Udinese,ITA,1,1553.07653809,1955-02-07,1955-02-13
None,Udinese,ITA,1,1564.22167969,1955-02-14,1955-02-20
None,Udinese,ITA,1,1568.1003418,1955-02-21,1955-02-27
None,Udinese,ITA,1,1570.57165527,1955-02-28,1955-03-13
None,Udinese,ITA,1,1587.16845703,1955-03-14,1955-03-20
None,Udinese,ITA,1,1593.12194824,1955-03-21,1955-04-03
None,Udinese,ITA,1,1607.35986328,1955-04-04,1955-04-06
None,Udinese,ITA,1,1602.01293945,1955-04-07,1955-04-10
None,Udinese,ITA,1,1597.20605469,1955-04-11,1955-04-17
None,Udinese,ITA,1,1602.49377441,1955-04-18,1955-04-24
None,Udinese,ITA,1,1606.88916016,1955-04-25,1955-05-01
None,Udinese,ITA,1,1613.59338379,1955-05-02,1955-05-08
None,Udinese,ITA,1,1612.54956055,1955-05-09,1955-05-15
None,Udinese,ITA,1,1617.32263184,1955-05-16,1955-06-05
None,Udinese,ITA,1,1617.56433105,1955-06-06,1955-06-12
None,Udinese,ITA,1,1619.57226562,1955-06-13,1955-06-19
None,Udinese,ITA,1,1624.24279785,1955-06-20,1955-06-23
None,Udinese,ITA,1,1600.5435791,1955-06-24,1955-06-25
None,Udinese,ITA,1,1611.7890625,1955-06-26,1955-07-01
None,Udinese,ITA,2,1611.7890625,1955-07-02,1955-09-18
None,Udinese,ITA,2,1613.57617188,1955-09-19,1955-09-25
None,Udinese,ITA,2,1618.14355469,1955-09-26,1955-10-02
None,Udinese,ITA,2,1626.78161621,1955-10-03,1955-10-09
None,Udinese,ITA,2,1629.95690918,1955-10-10,1955-10-16
None,Udinese,ITA,2,1631.37768555,1955-10-17,1955-10-23
None,Udinese,ITA,2,1628.78051758,1955-10-24,1955-10-30
None,Udinese,ITA,2,1630.55419922,1955-10-31,1955-11-01
None,Udinese,ITA,2,1601.7244873,1955-11-02,1955-11-06
None,Udinese,ITA,2,1600.79309082,1955-11-07,1955-11-13
None,Udinese,ITA,2,1601.60632324,1955-11-14,1955-11-23
None,Udinese,ITA,2,1638.87487793,1955-11-24,1955-12-04
None,Udinese,ITA,2,1634.19995117,1955-12-05,1955-12-11
None,Udinese,ITA,2,1638.95507812,1955-12-12,1955-12-26
None,Udinese,ITA,2,1640.0769043,1955-12-27,1956-01-01
None,Udinese,ITA,2,1628.33105469,1956-01-02,1956-01-08
None,Udinese,ITA,2,1636.55554199,1956-01-09,1956-01-15
None,Udinese,ITA,2,1638.32214355,1956-01-16,1956-01-18
None,Udinese,ITA,2,1654.78881836,1956-01-19,1956-01-22
None,Udinese,ITA,2,1650.4888916,1956-01-23,1956-01-29
None,Udinese,ITA,2,1641.62023926,1956-01-30,1956-02-05
None,Udinese,ITA,2,1630.24353027,1956-02-06,1956-02-12
None,Udinese,ITA,2,1660.42675781,1956-02-13,1956-02-19
None,Udinese,ITA,2,1662.34399414,1956-02-20,1956-02-26
None,Udinese,ITA,2,1664.5501709,1956-02-27,1956-03-04
None,Udinese,ITA,2,1663.77709961,1956-03-05,1956-03-11
None,Udinese,ITA,2,1653.1887207,1956-03-12,1956-03-18
None,Udinese,ITA,2,1656.53771973,1956-03-19,1956-03-25
None,Udinese,ITA,2,1642.97802734,1956-03-26,1956-04-01
None,Udinese,ITA,2,1646.74951172,1956-04-02,1956-04-08
None,Udinese,ITA,2,1635.38635254,1956-04-09,1956-04-15
None,Udinese,ITA,2,1636.50317383,1956-04-16,1956-04-19
None,Udinese,ITA,2,1632.39697266,1956-04-20,1956-04-29
None,Udinese,ITA,2,1633.2208252,1956-04-30,1956-05-01
None,Udinese,ITA,2,1625.21350098,1956-05-02,1956-05-06
None,Udinese,ITA,2,1622.53222656,1956-05-07,1956-05-13
None,Udinese,ITA,2,1625.99975586,1956-05-14,1956-05-20
None,Udinese,ITA,2,1628.21008301,1956-05-21,1956-05-27
None,Udinese,ITA,2,1640.09790039,1956-05-28,1956-06-03
None,Udinese,ITA,2,1641.65356445,1956-06-04,1956-06-10
None,Udinese,ITA,2,1644.62512207,1956-06-11,1956-06-29
None,Udinese,ITA,2,1653.43408203,1956-06-30,1956-07-01
None,Udinese,ITA,1,1653.43408203,1956-07-02,1956-07-03
None,Udinese,ITA,1,1672.56188965,1956-07-04,1956-09-16
None,Udinese,ITA,1,1658.0480957,1956-09-17,1956-09-23
None,Udinese,ITA,1,1659.30993652,1956-09-24,1956-09-30
None,Udinese,ITA,1,1655.98083496,1956-10-01,1956-10-07
None,Udinese,ITA,1,1657.9420166,1956-10-08,1956-10-14
None,Udinese,ITA,1,1644.84460449,1956-10-15,1956-10-21
None,Udinese,ITA,1,1656.11608887,1956-10-22,1956-10-28
None,Udinese,ITA,1,1659.41711426,1956-10-29,1956-11-18
None,Udinese,ITA,1,1655.31945801,1956-11-19,1956-11-21
None,Udinese,ITA,1,1645.7064209,1956-11-22,1956-11-25
None,Udinese,ITA,1,1639.94091797,1956-11-26,1956-11-28
None,Udinese,ITA,1,1655.10644531,1956-11-29,1956-12-02
None,Udinese,ITA,1,1659.43981934,1956-12-03,1956-12-16
None,Udinese,ITA,1,1664.15319824,1956-12-17,1956-12-30
None,Udinese,ITA,1,1670.10656738,1956-12-31,1957-01-02
None,Udinese,ITA,1,1671.05407715,1957-01-03,1957-01-06
None,Udinese,ITA,1,1659.43811035,1957-01-07,1957-01-13
None,Udinese,ITA,1,1638.94799805,1957-01-14,1957-01-20
None,Udinese,ITA,1,1630.96179199,1957-01-21,1957-01-27
None,Udinese,ITA,1,1638.75268555,1957-01-28,1957-02-03
None,Udinese,ITA,1,1636.09020996,1957-02-04,1957-02-06
None,Udinese,ITA,1,1637.04736328,1957-02-07,1957-02-10
None,Udinese,ITA,1,1641.0814209,1957-02-11,1957-02-17
None,Udinese,ITA,1,1630.54443359,1957-02-18,1957-02-24
None,Udinese,ITA,1,1639.23059082,1957-02-25,1957-02-27
None,Udinese,ITA,1,1643.98034668,1957-02-28,1957-03-03
None,Udinese,ITA,1,1637.74035645,1957-03-04,1957-03-10
None,Udinese,ITA,1,1646.31848145,1957-03-11,1957-03-17
None,Udinese,ITA,1,1649.33251953,1957-03-18,1957-03-24
None,Udinese,ITA,1,1657.48327637,1957-03-25,1957-03-31
None,Udinese,ITA,1,1664.55639648,1957-04-01,1957-04-03
None,Udinese,ITA,1,1676.99975586,1957-04-04,1957-04-07
None,Udinese,ITA,1,1684.83532715,1957-04-08,1957-04-14
None,Udinese,ITA,1,1679.56787109,1957-04-15,1957-04-18
None,Udinese,ITA,1,1678.65002441,1957-04-19,1957-04-28
None,Udinese,ITA,1,1683.77087402,1957-04-29,1957-05-05
None,Udinese,ITA,1,1695.40710449,1957-05-06,1957-05-19
None,Udinese,ITA,1,1689.68359375,1957-05-20,1957-05-30
None,Udinese,ITA,1,1680.36791992,1957-05-31,1957-06-02
None,Udinese,ITA,1,1675.77575684,1957-06-03,1957-06-09
None,Udinese,ITA,1,1682.43249512,1957-06-10,1957-06-16
None,Udinese,ITA,1,1675.14428711,1957-06-17,1957-06-20
None,Udinese,ITA,1,1663.35791016,1957-06-21,1957-06-23
None,Udinese,ITA,1,1677.79736328,1957-06-24,1957-09-08
None,Udinese,ITA,1,1681.88562012,1957-09-09,1957-09-15
None,Udinese,ITA,1,1670.20996094,1957-09-16,1957-09-22
None,Udinese,ITA,1,1678.59216309,1957-09-23,1957-09-29
None,Udinese,ITA,1,1674.30236816,1957-09-30,1957-10-02
None,Udinese,ITA,1,1679.71838379,1957-10-03,1957-10-06
None,Udinese,ITA,1,1682.80200195,1957-10-07,1957-10-09
None,Udinese,ITA,1,1677.54089355,1957-10-10,1957-10-13
None,Udinese,ITA,1,1675.79089355,1957-10-14,1957-10-20
None,Udinese,ITA,1,1664.92028809,1957-10-21,1957-10-27
None,Udinese,ITA,1,1658.04052734,1957-10-28,1957-10-30
None,Udinese,ITA,1,1671.46948242,1957-10-31,1957-11-04
None,Udinese,ITA,1,1667.03320312,1957-11-05,1957-11-10
None,Udinese,ITA,1,1671.18847656,1957-11-11,1957-11-17
None,Udinese,ITA,1,1682.26281738,1957-11-18,1957-11-24
None,Udinese,ITA,1,1675.99499512,1957-11-25,1957-11-27
None,Udinese,ITA,1,1690.14611816,1957-11-28,1957-12-11
None,Udinese,ITA,1,1689.69763184,1957-12-12,1957-12-15
None,Udinese,ITA,1,1678.42224121,1957-12-16,1957-12-22
None,Udinese,ITA,1,1674.47338867,1957-12-23,1957-12-29
None,Udinese,ITA,1,1670.40588379,1957-12-30,1958-01-05
None,Udinese,ITA,1,1659.75854492,1958-01-06,1958-01-19
None,Udinese,ITA,1,1664.9362793,1958-01-20,1958-01-26
None,Udinese,ITA,1,1670.37133789,1958-01-27,1958-02-02
None,Udinese,ITA,1,1665.87744141,1958-02-03,1958-02-09
None,Udinese,ITA,1,1658.09179688,1958-02-10,1958-02-12
None,Udinese,ITA,1,1659.78417969,1958-02-13,1958-02-16
None,Udinese,ITA,1,1658.99377441,1958-02-17,1958-02-23
None,Udinese,ITA,1,1661.44677734,1958-02-24,1958-02-26
None,Udinese,ITA,1,1663.3873291,1958-02-27,1958-03-02
None,Udinese,ITA,1,1669.8659668,1958-03-03,1958-03-09
None,Udinese,ITA,1,1665.84216309,1958-03-10,1958-03-16
None,Udinese,ITA,1,1670.47338867,1958-03-17,1958-03-30
None,Udinese,ITA,1,1684.70507812,1958-03-31,1958-04-06
None,Udinese,ITA,1,1673.63549805,1958-04-07,1958-04-13
None,Udinese,ITA,1,1670.53796387,1958-04-14,1958-04-20
None,Udinese,ITA,1,1664.76574707,1958-04-21,1958-04-27
None,Udinese,ITA,1,1669.36804199,1958-04-28,1958-05-04
None,Udinese,ITA,1,1674.00769043,1958-05-05,1958-05-08
None,Udinese,ITA,1,1674.32067871,1958-05-09,1958-05-11
None,Udinese,ITA,1,1689.52575684,1958-05-12,1958-05-14
None,Udinese,ITA,1,1700.64526367,1958-05-15,1958-05-18
None,Udinese,ITA,1,1703.70666504,1958-05-19,1958-05-25
None,Udinese,ITA,1,1712.89660645,1958-05-26,1958-05-28
None,Udinese,ITA,1,1709.17089844,1958-05-29,1958-09-21
None,Udinese,ITA,1,1693.03918457,1958-09-22,1958-09-24
None,Udinese,ITA,1,1693.79284668,1958-09-25,1958-09-28
None,Udinese,ITA,1,1689.1282959,1958-09-29,1958-10-01
None,Udinese,ITA,1,1654.20776367,1958-10-02,1958-10-05
None,Udinese,ITA,1,1651.21447754,1958-10-06,1958-10-12
None,Udinese,ITA,1,1654.7142334,1958-10-13,1958-10-19
None,Udinese,ITA,1,1650.5,1958-10-20,1958-10-26
None,Udinese,ITA,1,1652.42822266,1958-10-27,1958-11-02
None,Udinese,ITA,1,1655.15368652,1958-11-03,1958-11-16
None,Udinese,ITA,1,1641.99914551,1958-11-17,1958-11-23
None,Udinese,ITA,1,1637.609375,1958-11-24,1958-11-30
None,Udinese,ITA,1,1633.29675293,1958-12-01,1958-12-07
None,Udinese,ITA,1,1627.29296875,1958-12-08,1958-12-21
None,Udinese,ITA,1,1623.50708008,1958-12-22,1958-12-28
None,Udinese,ITA,1,1628.14160156,1958-12-29,1959-01-04
None,Udinese,ITA,1,1622.67260742,1959-01-05,1959-01-11
None,Udinese,ITA,1,1627.91064453,1959-01-12,1959-01-18
None,Udinese,ITA,1,1628.70275879,1959-01-19,1959-01-25
None,Udinese,ITA,1,1622.70776367,1959-01-26,1959-02-01
None,Udinese,ITA,1,1616.12329102,1959-02-02,1959-02-08
None,Udinese,ITA,1,1602.11437988,1959-02-09,1959-02-15
None,Udinese,ITA,1,1596.56152344,1959-02-16,1959-02-22
None,Udinese,ITA,1,1605.41174316,1959-02-23,1959-03-02
None,Udinese,ITA,1,1600.39123535,1959-03-03,1959-03-15
None,Udinese,ITA,1,1596.23291016,1959-03-16,1959-03-22
None,Udinese,ITA,1,1598.23864746,1959-03-23,1959-03-29
None,Udinese,ITA,1,1608.61486816,1959-03-30,1959-04-05
None,Udinese,ITA,1,1618.33483887,1959-04-06,1959-04-12
None,Udinese,ITA,1,1628.18774414,1959-04-13,1959-04-19
None,Udinese,ITA,1,1626.06286621,1959-04-20,1959-04-26
None,Udinese,ITA,1,1616.20031738,1959-04-27,1959-05-17
None,Udinese,ITA,1,1610.51062012,1959-05-18,1959-05-24
None,Udinese,ITA,1,1624.60058594,1959-05-25,1959-05-28
None,Udinese,ITA,1,1621.93457031,1959-05-29,1959-06-02
None,Udinese,ITA,1,1617.2277832,1959-06-03,1959-06-07
None,Udinese,ITA,1,1622.75439453,1959-06-08,1959-09-13
None,Udinese,ITA,1,1622.71008301,1959-09-14,1959-09-20
None,Udinese,ITA,1,1613.8848877,1959-09-21,1959-09-23
None,Udinese,ITA,1,1614.06591797,1959-09-24,1959-09-27
None,Udinese,ITA,1,1609.35888672,1959-09-28,1959-10-04
None,Udinese,ITA,1,1614.76757812,1959-10-05,1959-10-11
None,Udinese,ITA,1,1609.55419922,1959-10-12,1959-10-18
None,Udinese,ITA,1,1607.63110352,1959-10-19,1959-10-25
None,Udinese,ITA,1,1605.39855957,1959-10-26,1959-11-04
None,Udinese,ITA,1,1598.85595703,1959-11-05,1959-11-08
None,Udinese,ITA,1,1594.50134277,1959-11-09,1959-11-15
None,Udinese,ITA,1,1605.55078125,1959-11-16,1959-11-22
